Age,EducationLevel,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHome,TrainingTimesLastYear,MonthlyIncome,Attrition,Gender_Male,Department_Finance,Department_HR,Department_IT,Department_Marketing,Department_Operations,Department_Sales,JobRole_Business Development Executive,JobRole_Data Analyst,JobRole_Data Scientist,JobRole_Digital Marketing Manager,JobRole_Finance Manager,JobRole_Financial Analyst,JobRole_HR Executive,JobRole_Marketing Executive,JobRole_Operations Executive,JobRole_Operations Manager,JobRole_Recruiter,JobRole_SEO Specialist,JobRole_Sales Executive,JobRole_Sales Manager,JobRole_Software Engineer,JobRole_Support Executive,JobRole_System Administrator
22,3,0.0,0.0,0.0,5.0,4,4.0,0,9,6.0,45120.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,7.0,5.0,3.0,3.0,4,1.5,0,25,10.0,65043.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,2,24.0,1.0,1.0,2.0,4,3.0,0,15,1.0,159090.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,2.0,1.0,1.0,2.0,4,2.0,0,13,2.0,46680.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,1,4.0,3.0,1.0,4.0,2,4.0,0,26,8.0,52443.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,2,10.0,0.0,0.0,1.5,2,5.0,0,21,8.0,94970.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,2,7.0,4.0,4.0,5.0,1,3.0,1,23,1.0,70382.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,2,2.0,1.0,0.0,3.0,3,4.0,0,28,5.0,227479.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,22.0,12.0,7.5,2.0,2,3.0,0,38,10.0,149009.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,2,26.0,14.0,5.0,3.0,3,3.0,0,12,5.0,76615.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,1,1.0,0.0,0.0,1.5,3,5.0,1,24,0.0,40429.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,2,0.0,0.0,0.0,4.0,4,5.0,1,13,1.0,44565.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,2,2.0,1.0,1.0,3.0,3,4.0,1,40,10.0,48511.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,2,1.0,1.0,1.0,3.0,4,3.0,1,2,1.0,36791.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,18.0,4.0,4.0,2.0,1,3.0,0,39,9.0,131735.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,9.0,1.0,0.0,4.0,1,3.0,1,12,2.0,103826.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,6.0,2.0,0.0,3.0,3,3.0,0,39,9.0,58857.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,2,32.0,10.0,2.0,2.0,2,3.0,1,14,2.0,200329.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2.0,0.0,0.0,4.0,2,4.0,1,30,9.0,35417.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,1,18.0,10.0,1.0,4.0,3,5.0,0,19,1.0,115798.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,3,0.0,0.0,0.0,5.0,2,3.0,1,31,7.0,39573.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,14.0,3.0,3.0,2.0,3,1.5,0,25,7.0,114006.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,4,6.0,3.0,2.0,4.0,3,5.0,1,4,7.0,96136.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,6.0,4.0,0.0,4.0,3,2.0,0,13,1.0,75185.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,5,9.0,1.0,1.0,2.0,3,4.0,0,36,8.0,122937.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,2,11.0,8.0,5.0,3.0,3,1.5,0,37,5.0,76615.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,1,7.0,1.0,1.0,3.0,2,3.0,1,3,6.0,59403.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,1,4.0,1.0,0.0,5.0,2,5.0,0,16,4.0,46022.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,9.0,1.0,1.0,3.0,3,2.0,0,26,5.0,76615.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,4.0,1.0,1.0,4.0,3,3.0,0,40,7.0,55287.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,3,16.0,8.0,5.0,3.0,4,3.0,0,39,8.0,135005.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,1,4.0,2.0,2.0,5.0,3,5.0,1,19,1.0,55670.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,4,21.0,9.0,0.0,3.0,2,5.0,0,15,5.0,205467.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,4,14.0,6.0,6.0,5.0,3,3.0,1,32,8.0,140194.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,2,12.0,3.0,2.0,3.0,3,2.0,1,21,5.0,76615.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,1,0.0,0.0,0.0,3.0,3,4.0,0,1,1.0,32923.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,2,0.0,0.0,0.0,5.0,3,3.0,1,6,0.0,29006.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2.0,0.0,0.0,5.0,3,4.0,1,27,2.0,42643.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,6.0,4.0,2.0,3.0,3,1.5,1,23,10.0,51316.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,2,0.0,0.0,0.0,3.0,3,2.0,0,31,4.0,30050.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,2,0.0,0.0,0.0,3.0,2,4.0,0,12,6.0,32683.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,2,2.0,1.0,1.0,3.0,3,3.0,0,21,9.0,47298.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,5,17.0,13.0,7.0,1.5,2,5.0,1,2,9.0,200721.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,1.0,1.0,1.0,2.0,1,2.0,0,5,2.0,37651.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,4.0,1.0,1.0,3.0,4,3.0,0,9,8.0,74504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,1,5.0,0.0,0.0,3.0,4,5.0,0,20,9.0,58163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,2,25.0,17.5,7.5,2.0,1,3.0,1,18,3.0,170953.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3,15.0,12.0,7.0,5.0,3,4.0,0,22,9.0,140123.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,1,12.0,2.0,0.0,4.0,2,2.0,0,8,1.0,75722.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,1,2.0,0.0,0.0,1.5,3,4.0,1,34,2.0,39639.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,3,32.0,5.0,1.0,4.0,4,4.0,1,9,4.0,227479.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,3,25.0,10.0,1.0,4.0,4,3.0,1,7,2.0,195741.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2,0.0,0.0,0.0,5.0,3,4.0,0,30,4.0,40822.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0.0,0.0,0.0,1.5,3,4.0,1,18,3.0,38381.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,5.0,5.0,5.0,2.0,3,3.0,0,27,10.0,59584.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1.0,0.0,0.0,5.0,3,3.0,1,16,9.0,26769.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2,5.0,2.0,0.0,5.0,4,3.0,0,21,2.0,62104.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,2,13.0,6.0,4.0,4.0,4,2.0,1,5,5.0,100115.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,1,17.0,9.0,7.5,4.0,3,3.0,0,29,7.0,107815.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,5,5.0,0.0,0.0,1.5,3,3.0,0,37,3.0,91398.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,3,23.0,3.0,2.0,3.0,2,3.0,1,22,8.0,182233.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,3,17.0,14.0,2.0,2.0,1,4.0,0,14,5.0,145142.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,2,26.0,12.0,7.5,2.0,4,3.0,1,19,4.0,169441.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,2,8.0,8.0,7.0,5.0,3,5.0,0,35,2.0,84403.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,2,7.0,1.0,1.0,2.0,3,3.0,0,24,4.0,68497.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,1,27.0,1.0,1.0,3.0,3,3.0,1,6,4.0,150555.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,2,0.0,0.0,0.0,5.0,4,4.0,1,3,3.0,32383.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,3,9.0,8.0,4.0,2.0,2,3.0,0,34,5.0,93496.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,3,16.0,12.0,7.0,5.0,4,3.0,0,2,2.0,133614.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,2,6.0,2.0,1.0,5.0,4,2.0,0,15,9.0,57874.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,2,1.0,0.0,0.0,4.0,4,3.0,0,37,0.0,37899.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,4,0.0,0.0,0.0,2.0,3,3.0,0,15,6.0,41817.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0.0,0.0,0.0,3.0,2,5.0,1,32,6.0,36099.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,2,5.0,4.0,2.0,3.0,3,3.0,0,21,3.0,60957.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2,5.0,4.0,1.0,3.0,3,5.0,1,17,8.0,67074.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,3,5.0,5.0,0.0,3.0,2,4.0,0,34,1.0,69980.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,5,25.0,1.0,1.0,5.0,3,3.0,0,32,0.0,227479.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,2,6.0,2.0,0.0,2.0,3,3.0,1,23,2.0,67498.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,4,11.0,8.0,3.0,4.0,4,4.0,0,35,6.0,125246.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,4,2.0,1.0,1.0,1.5,1,5.0,0,37,8.0,69563.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,2,13.0,5.0,4.0,4.0,3,2.0,0,37,1.0,99957.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,2,5.0,5.0,1.0,5.0,4,3.0,1,33,5.0,58610.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2,18.0,7.0,1.0,3.0,4,3.0,1,25,2.0,130071.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,5,22.0,4.0,0.0,2.0,4,1.5,0,37,4.0,211975.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,2,15.0,8.0,3.0,4.0,3,3.0,0,40,8.0,110085.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,3,2.0,0.0,0.0,4.0,4,5.0,0,21,2.0,55882.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,7.0,0.0,0.0,4.0,3,3.0,1,38,0.0,66886.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3,24.0,9.0,7.5,3.0,3,4.0,0,40,4.0,192358.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,2,12.0,6.0,3.0,3.0,1,4.0,0,34,0.0,102609.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,20.0,3.0,0.0,5.0,1,3.0,0,19,7.0,167500.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,8.0,2.0,0.0,5.0,2,2.0,0,27,6.0,91187.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,9.0,9.0,5.0,3.0,2,4.0,0,9,10.0,110582.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,4,8.0,5.0,0.0,5.0,2,5.0,0,5,1.0,109588.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,3.0,3.0,1.0,3.0,2,4.0,0,5,10.0,42600.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,3,1.0,0.0,0.0,3.0,1,1.5,0,25,8.0,32772.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0.0,0.0,0.0,2.0,4,3.0,0,26,4.0,28651.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,2,12.0,0.0,0.0,3.0,1,2.0,0,19,6.0,88697.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,2,1.0,1.0,0.0,3.0,3,3.0,0,30,3.0,42283.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0.0,0.0,0.0,1.5,2,4.0,1,36,0.0,37805.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2,2.0,2.0,1.0,3.0,4,2.0,1,16,7.0,38064.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,5,25.0,1.0,1.0,4.0,4,4.0,1,7,0.0,227479.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,1,1.0,0.0,0.0,4.0,3,3.0,1,18,2.0,34263.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,3,2.0,0.0,0.0,4.0,3,4.0,1,21,5.0,55004.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,2,5.0,0.0,0.0,5.0,1,5.0,1,31,7.0,62283.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,1,2.0,2.0,0.0,1.5,4,2.0,0,1,7.0,29132.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,2,9.0,1.0,0.0,4.0,4,5.0,0,3,1.0,89077.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,4,23.0,17.5,7.5,4.0,4,2.0,1,31,8.0,205198.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
