EmployeeID,Age,Gender,Department,JobRole,EducationLevel,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHome,TrainingTimesLastYear,MonthlyIncome,Attrition,Comments,Temp_Code,Extra_Salary_Text
EMP1036,38,male,HR,Recruiter,Bachelor's,7,1,0,3,4,3,Yes,16,4,68110,No,Check Later,,Thirty Thousand
EMP1037,24,female,Finance,Financial Analyst,Master's,1,1,0,2,3,5,No,26,1,49370,No,,999X,
EMP1038,45,male,Marketing,Marketing Executive,Master's,14,5,0,1,3,3,No,37,7,124347,Yes,N/A,,Thirty Thousand
EMP1039,34,Female,Customer Support,Support Executive,Bachelor's,8,5,4,2,3,4,No,22,3,75801,No,,,45000
EMP1040,29,Male,Finance,Accountant,Diploma,2,1,0,3,1,3,No,10,0,36767,No,Good,B202,45000
EMP1041,46,Male,Customer Support,Support Executive,Master's,19,1,1,2,3,2,No,7,9,154130,Yes,,B202,
EMP1042,22,M,Finance,Accountant,Master's,0,0,0,5,4,4,No,9,6,45120,No,,B202,45000
EMP1043,40,Female,HR,HR Executive,Bachelor's,7,5,3,3,4,1,No,25,10,65043,No,Pending,,Thirty Thousand
EMP1044,48,female,Finance,Accountant,Bachelor's,24,1,1,2,4,3,No,15,1,159090,No,Good,??,45000
EMP1045,27,Female,HR,Recruiter,Master's,2,1,1,2,4,2,No,13,2,46680,No,Check Later,??,45000
EMP1046,28,Male,IT,System Administrator,Diploma,4,3,1,4,2,4,No,26,8,52443,No,Pending,,Thirty Thousand
EMP1047,55,Male,Customer Support,Support Executive,Bachelor's,10,0,0,1,2,5,No,21,8,94970,Yes,Check Later,999X,Thirty Thousand
EMP1048,34,Female,Marketing,Marketing Executive,Bachelor's,7,4,4,5,1,3,Yes,23,1,70382,Yes,,,Thirty Thousand
EMP1049,37,Female,Finance,Accountant,,2,1,0,,3,4,No,28,,354718,Yes,,,45000
EMP1050,56,Male,HR,Recruiter,Bachelor's,22,12,10,2,2,3,No,38,10,149009,Yes,,A101,45000
EMP1051,60,Female,Sales,Sales Manager,,26,14,5,,3,3,No,12,,,No,N/A,B202,45000
EMP1052,24,Male,Customer Support,Support Executive,Diploma,1,0,0,1,3,5,Yes,24,0,40429,Yes,Pending,999X,Not Available
EMP1053,22,Female,Finance,Financial Analyst,Bachelor's,0,0,0,4,4,5,Yes,13,1,44565,No,Pending,,Thirty Thousand
EMP1054,26,Male,Operations,Operations Executive,Bachelor's,2,1,1,3,3,4,Yes,40,10,48511,No,Pending,A101,
EMP1055,24,female,IT,Data Analyst,Bachelor's,1,1,1,3,4,3,Yes,2,1,36791,No,Good,B202,
EMP1056,49,Male,IT,Data Scientist,Bachelor's,18,4,4,2,1,3,No,39,9,131735,Yes,,??,Thirty Thousand
EMP1057,38,Female,Sales,Business Development Executive,MBA,9,1,0,4,1,3,Yes,12,2,103826,No,Good,999X,45000
EMP1058,46,Male,HR,Recruiter,Diploma,6,2,0,3,3,3,No,39,9,58857,No,,A101,Thirty Thousand
EMP1059,54,Male,Finance,Accountant,Bachelor's,32,10,2,2,2,3,Yes,14,2,200329,Yes,,999X,45000
EMP1060,30,Female,Customer Support,Support Executive,Diploma,2,0,0,4,2,4,Yes,30,9,35417,Yes,Check Later,B202,45000
EMP1061,56,Female,HR,HR Executive,Diploma,18,10,1,4,3,5,No,19,1,115798,No,,B202,Thirty Thousand
EMP1062,34,Female,IT,Data Scientist,Master's,0,0,0,5,2,3,Yes,31,7,39573,Yes,Pending,??,Thirty Thousand
EMP1063,51,Male,HR,HR Executive,Master's,14,3,3,2,3,1,No,25,7,114006,No,Check Later,??,45000
EMP1064,35,Female,IT,Data Analyst,MBA,6,3,2,4,3,5,Yes,4,7,96136,Yes,Pending,999X,Not Available
EMP1065,28,M,HR,HR Executive,Master's,6,4,0,4,3,2,No,13,1,75185,No,N/A,B202,45000
EMP1066,34,male,Sales,Sales Manager,PhD,9,1,1,2,3,4,No,36,8,122937,Yes,Check Later,,
EMP1067,43,Male,Marketing,Marketing Executive,,11,8,5,,3,1,No,37,,,No,Pending,A101,45000
EMP1068,60,Female,Sales,Sales Manager,Diploma,7,1,1,3,2,3,Yes,3,6,59403,No,Good,,
EMP1069,41,Male,Sales,Business Development Executive,Diploma,4,1,0,5,2,5,No,16,4,46022,Yes,Pending,A101,Thirty Thousand
EMP1070,36,Male,Marketing,Digital Marketing Manager,,9,1,1,,3,2,No,26,,,No,,999X,Not Available
EMP1071,38,F,Marketing,Marketing Executive,Bachelor's,4,1,1,4,3,3,No,40,7,55287,No,N/A,B202,
EMP1072,44,Male,Finance,Financial Analyst,Master's,16,8,5,3,4,3,No,39,8,135005,Yes,Pending,B202,Thirty Thousand
EMP1073,46,Female,Customer Support,Support Executive,Diploma,4,2,2,5,3,5,Yes,19,1,55670,No,Good,A101,
EMP1074,45,Female,Customer Support,Support Executive,MBA,21,9,0,3,2,5,No,15,5,205467,No,,999X,45000
EMP1075,49,male,Finance,Financial Analyst,MBA,14,6,6,5,3,3,Yes,32,8,140194,Yes,Pending,A101,45000
EMP1076,35,Female,Sales,Sales Manager,,12,3,2,,3,2,Yes,21,,,Yes,N/A,999X,Not Available
EMP1077,21,Male,Sales,Sales Executive,Diploma,0,0,0,3,3,4,No,1,1,32923,No,N/A,999X,Not Available
EMP1078,45,Male,IT,Data Analyst,Bachelor's,0,0,0,5,3,3,Yes,6,0,29006,Yes,,,Thirty Thousand
EMP1079,27,Female,IT,Data Scientist,Diploma,2,0,0,5,3,4,Yes,27,2,42643,Yes,,999X,
EMP1080,29,Male,Customer Support,Support Executive,Diploma,6,4,2,3,3,1,Yes,23,10,51316,No,Check Later,B202,Not Available
EMP1081,44,Female,Finance,Finance Manager,Bachelor's,0,0,0,3,3,2,No,31,4,30050,No,Pending,999X,
EMP1082,21,Male,Operations,Operations Manager,Bachelor's,0,0,0,3,2,4,No,12,6,32683,No,Good,,45000
EMP1083,28,Male,Operations,Operations Manager,Bachelor's,2,1,1,3,3,3,No,21,9,47298,No,,B202,Not Available
EMP1084,44,Female,Finance,Accountant,PhD,17,13,7,1,2,5,Yes,2,9,200721,Yes,,A101,45000
EMP1085,31,Male,IT,Data Analyst,Master's,1,1,1,2,1,2,No,5,2,37651,No,,,
EMP1086,37,Female,Customer Support,Support Executive,MBA,4,1,1,3,4,3,No,9,8,74504,No,Good,A101,
EMP1087,28,Female,Customer Support,Support Executive,Diploma,5,0,0,3,4,5,No,20,9,58163,No,N/A,??,
EMP1088,55,female,IT,Data Analyst,Bachelor's,25,18,10,2,1,3,Yes,18,3,170953,Yes,,B202,Not Available
EMP1089,55,Male,Operations,Operations Manager,Master's,15,12,7,5,3,4,No,22,9,140123,Yes,,A101,
EMP1090,53,Male,HR,HR Executive,Diploma,12,2,0,4,2,2,No,8,1,75722,Yes,Pending,999X,45000
EMP1091,25,Male,HR,Recruiter,Diploma,2,0,0,1,3,4,Yes,34,2,39639,Yes,,A101,45000
EMP1092,59,Female,IT,System Administrator,Master's,32,5,1,4,4,4,Yes,9,4,241822,No,Check Later,999X,
EMP1093,48,male,HR,Recruiter,Master's,25,10,1,4,4,3,Yes,7,2,195741,Yes,Pending,999X,Thirty Thousand
EMP1094,27,Male,Marketing,Digital Marketing Manager,Bachelor's,0,0,0,5,3,4,No,30,4,40822,No,Check Later,A101,Not Available
EMP1095,29,F,Finance,Accountant,Bachelor's,0,0,0,1,3,4,Yes,18,3,38381,No,N/A,A101,Thirty Thousand
EMP1096,28,Male,Finance,Finance Manager,Bachelor's,5,5,5,2,3,3,No,27,10,59584,No,N/A,999X,Not Available
EMP1097,32,Female,IT,System Administrator,Diploma,1,0,0,5,3,3,Yes,16,9,26769,Yes,,??,45000
EMP1098,54,male,Sales,Sales Executive,Bachelor's,5,2,0,5,4,3,No,21,2,62104,No,,A101,45000
EMP1099,53,M,Operations,Operations Executive,Bachelor's,13,6,4,4,4,2,Yes,5,5,100115,Yes,Good,,45000
EMP1100,43,male,IT,Software Engineer,Diploma,17,9,9,4,3,3,No,29,7,107815,No,,B202,45000
EMP1101,44,female,HR,Recruiter,PhD,5,0,0,1,3,3,No,37,3,91398,No,N/A,A101,45000
EMP1102,57,Male,Operations,Operations Manager,Master's,23,3,2,3,2,3,Yes,22,8,182233,Yes,,,45000
EMP1103,55,female,Sales,Sales Executive,Master's,17,14,2,2,1,4,No,14,5,145142,No,Good,A101,Not Available
EMP1104,60,Male,HR,HR Executive,Bachelor's,26,12,11,2,4,3,Yes,19,4,169441,Yes,,??,
EMP1105,42,M,Customer Support,Support Executive,Bachelor's,8,8,7,5,3,5,No,35,2,84403,No,,,Not Available
EMP1106,47,Female,Marketing,Marketing Executive,Bachelor's,7,1,1,2,3,3,No,24,4,68497,No,,??,Not Available
EMP1107,55,female,HR,HR Executive,Diploma,27,1,1,3,3,3,Yes,6,4,150555,No,,??,
EMP1108,21,Female,Marketing,SEO Specialist,Bachelor's,0,0,0,5,4,4,Yes,3,3,32383,No,Pending,B202,
EMP1109,55,Female,Operations,Operations Executive,Master's,9,8,4,2,2,3,No,34,5,93496,Yes,,A101,Thirty Thousand
EMP1110,57,Female,Marketing,SEO Specialist,Master's,16,12,7,5,4,3,No,2,2,133614,No,N/A,??,Not Available
EMP1111,34,male,Operations,Operations Manager,Bachelor's,6,2,1,5,4,2,No,15,9,57874,No,,,Thirty Thousand
EMP1112,23,Male,Operations,Operations Executive,Bachelor's,1,0,0,4,4,3,No,37,0,37899,No,,A101,Thirty Thousand
EMP1113,21,Male,Operations,Operations Executive,MBA,0,0,0,2,3,3,No,15,6,41817,No,Pending,,
EMP1114,25,Male,Operations,Operations Manager,Diploma,0,0,0,3,2,5,Yes,32,6,36099,Yes,,??,Thirty Thousand
EMP1115,46,Male,Operations,Operations Manager,Bachelor's,5,4,2,3,3,3,No,21,3,60957,No,,??,
EMP1116,34,M,HR,HR Executive,Bachelor's,5,4,1,3,3,5,Yes,17,8,67074,Yes,Good,A101,
EMP1117,59,Male,Operations,Operations Executive,Master's,5,5,0,3,2,4,No,34,1,69980,No,Good,999X,
EMP1118,47,F,HR,HR Executive,PhD,25,1,1,5,3,3,No,32,0,256037,No,N/A,A101,Not Available
EMP1119,29,Male,Operations,Operations Manager,Bachelor's,6,2,0,2,3,3,Yes,23,2,67498,Yes,Good,B202,
EMP1120,35,Male,Marketing,SEO Specialist,MBA,11,8,3,4,4,4,No,35,6,125246,No,Pending,999X,Thirty Thousand
EMP1121,35,female,Customer Support,Support Executive,MBA,2,1,1,1,1,5,No,37,8,69563,Yes,,A101,
EMP1122,46,Female,Operations,Operations Executive,Bachelor's,13,5,4,4,3,2,No,37,1,99957,No,,??,Thirty Thousand
EMP1123,33,Female,Sales,Sales Executive,Bachelor's,5,5,1,5,4,3,Yes,33,5,58610,No,Pending,??,45000
EMP1124,52,Female,Operations,Operations Executive,Bachelor's,18,7,1,3,4,3,Yes,25,2,130071,Yes,Check Later,A101,Thirty Thousand
EMP1125,59,male,Operations,Operations Manager,PhD,22,4,0,2,4,1,No,37,4,211975,No,,B202,45000
EMP1126,52,Male,Marketing,Marketing Executive,Bachelor's,15,8,3,4,3,3,No,40,8,110085,No,Good,B202,Not Available
EMP1127,24,F,Finance,Accountant,Master's,2,0,0,4,4,5,No,21,2,55882,No,,999X,45000
EMP1128,50,F,Marketing,Digital Marketing Manager,Bachelor's,7,0,0,4,3,3,Yes,38,0,66886,No,,,
EMP1129,57,Female,Sales,Sales Executive,Master's,24,9,8,3,3,4,No,40,4,192358,No,,,Not Available
EMP1130,43,Male,Finance,Accountant,Bachelor's,12,6,3,3,1,4,No,34,0,102609,Yes,,A101,Not Available
EMP1131,59,Female,IT,Data Scientist,Master's,20,3,0,5,1,3,No,19,7,167500,No,,A101,
EMP1132,35,Male,IT,Data Analyst,MBA,8,2,0,5,2,2,No,27,6,91187,No,Good,A101,45000
EMP1133,49,Male,Sales,Sales Manager,MBA,9,9,5,3,2,4,No,9,10,110582,No,,??,45000
EMP1134,56,Male,Marketing,Digital Marketing Manager,MBA,8,5,0,5,2,5,No,5,1,109588,No,,A101,
EMP1135,33,Female,HR,HR Executive,Diploma,3,3,1,3,2,4,No,5,10,42600,No,N/A,B202,Not Available
EMP1136,52,M,Sales,Business Development Executive,Master's,1,0,0,3,1,1,No,25,8,32772,No,,,Not Available
EMP1137,27,male,Customer Support,Support Executive,Diploma,0,0,0,2,4,3,No,26,4,28651,Yes,Good,,45000
EMP1138,42,male,Finance,Financial Analyst,Bachelor's,12,0,0,3,1,2,No,19,6,88697,No,Pending,,Thirty Thousand
EMP1139,48,Female,Finance,Finance Manager,Bachelor's,1,1,0,3,3,3,No,30,3,42283,No,Pending,B202,Thirty Thousand
EMP1140,22,Male,Operations,Operations Manager,Bachelor's,0,0,0,1,2,4,Yes,36,0,37805,Yes,Check Later,999X,Thirty Thousand
EMP1141,26,Female,IT,System Administrator,Bachelor's,2,2,1,3,4,2,Yes,16,7,38064,No,N/A,999X,Thirty Thousand
EMP1142,48,F,Finance,Finance Manager,PhD,25,1,1,4,4,4,Yes,7,0,253287,No,N/A,A101,Not Available
EMP1143,48,Male,Sales,Sales Executive,Diploma,1,0,0,4,3,3,Yes,18,2,34263,No,Pending,??,Thirty Thousand
EMP1144,40,M,Finance,Finance Manager,Master's,2,0,0,4,3,4,Yes,21,5,55004,No,Check Later,??,Not Available
EMP1145,50,Female,Sales,Sales Executive,Bachelor's,5,0,0,5,1,5,Yes,31,7,62283,Yes,Check Later,B202,
EMP1146,31,Female,HR,HR Executive,Diploma,2,2,0,1,4,2,No,1,7,29132,No,Good,999X,
EMP1147,48,male,Operations,Operations Manager,Bachelor's,9,1,0,4,4,5,No,3,1,89077,No,N/A,999X,45000
EMP1148,45,Female,IT,Software Engineer,MBA,23,19,17,4,4,2,Yes,31,8,205198,Yes,,??,Thirty Thousand
EMP1149,59,M,Finance,Accountant,MBA,5,5,5,3,3,3,Yes,25,3,78036,No,Good,999X,
EMP1150,53,M,Sales,Business Development Executive,MBA,22,1,1,3,3,5,No,8,3,216006,No,Check Later,999X,Thirty Thousand
EMP1151,21,Female,Marketing,SEO Specialist,PhD,0,0,0,2,4,5,No,1,1,55441,No,N/A,??,Not Available
EMP1152,47,Male,IT,Data Analyst,Bachelor's,15,0,0,5,2,3,No,7,0,114289,No,Check Later,B202,Not Available
EMP1153,33,Female,HR,Recruiter,Bachelor's,0,0,0,3,3,3,No,7,9,28254,No,N/A,999X,Thirty Thousand
EMP1154,23,M,Sales,Business Development Executive,Master's,0,0,0,5,1,4,No,8,6,42738,Yes,Pending,999X,Not Available
EMP1155,59,Male,Customer Support,Support Executive,Bachelor's,2,1,1,4,4,4,No,19,10,43826,No,,,Thirty Thousand
EMP1156,26,Female,Customer Support,Support Executive,Bachelor's,1,0,0,4,2,2,No,17,9,34565,No,Good,A101,Thirty Thousand
EMP1157,28,Female,Operations,Operations Executive,Bachelor's,6,1,1,5,2,4,No,11,2,65950,No,,??,
EMP1158,47,male,Operations,Operations Manager,Master's,8,7,6,4,3,3,No,11,3,90289,No,,,
EMP1159,29,Male,HR,HR Executive,Master's,3,1,1,3,4,3,No,38,10,51939,No,,??,45000
EMP1160,57,male,HR,HR Executive,Bachelor's,11,9,7,3,3,3,No,2,8,87289,No,Check Later,,
EMP1161,53,M,Operations,Operations Manager,Bachelor's,4,1,0,5,2,3,Yes,4,5,50036,No,,A101,
EMP1162,44,Male,Finance,Financial Analyst,Master's,2,1,0,3,1,5,No,28,0,63329,No,Pending,A101,
EMP1163,35,Male,Finance,Accountant,Master's,10,8,8,3,4,3,No,33,8,101932,No,Pending,999X,Thirty Thousand
EMP1164,52,F,Sales,Sales Manager,Bachelor's,24,18,6,1,4,5,No,11,8,168980,No,Pending,B202,45000
EMP1165,52,Male,Marketing,SEO Specialist,Master's,29,7,0,5,4,2,No,3,4,219209,Yes,,??,Not Available
EMP1166,44,female,Sales,Sales Manager,Diploma,3,3,1,1,3,4,No,40,7,41769,No,N/A,??,
EMP1167,32,Female,Marketing,Marketing Executive,Bachelor's,4,2,1,4,4,4,No,5,6,58722,No,N/A,??,
EMP1168,59,Male,HR,HR Executive,Master's,0,0,0,3,3,4,No,21,10,42710,No,Pending,,45000
EMP1169,22,M,IT,Software Engineer,Master's,0,0,0,3,3,4,Yes,22,7,38767,No,Good,A101,Thirty Thousand
EMP1170,23,Female,Sales,Sales Manager,Bachelor's,0,0,0,4,3,3,No,37,8,32108,No,Good,999X,
EMP1171,57,Female,Sales,Sales Executive,Master's,27,2,2,1,3,5,Yes,11,1,219653,No,Good,,45000
EMP1172,37,Female,Marketing,Digital Marketing Manager,Master's,14,11,2,4,4,4,Yes,22,9,134047,Yes,,999X,45000
EMP1173,22,Female,HR,HR Executive,Master's,0,0,0,4,3,2,No,13,4,31606,No,,B202,
EMP1174,22,Male,HR,Recruiter,Master's,0,0,0,5,3,4,Yes,3,7,38256,No,,A101,Not Available
EMP1175,48,Female,Customer Support,Support Executive,Master's,17,16,12,2,2,3,No,13,2,146977,Yes,Pending,999X,45000
EMP1176,43,F,Marketing,Digital Marketing Manager,Bachelor's,11,3,2,5,1,3,Yes,28,10,92151,Yes,,??,Thirty Thousand
EMP1177,57,Male,HR,Recruiter,Diploma,12,0,0,4,3,5,Yes,11,10,82749,Yes,Good,A101,45000
EMP1178,52,Female,Operations,Operations Executive,Bachelor's,8,2,2,5,2,3,No,11,5,71308,No,Check Later,B202,
EMP1179,53,Male,Finance,Accountant,Bachelor's,1,0,0,3,2,4,No,21,5,42816,No,,,45000
EMP1180,21,male,Customer Support,Support Executive,Master's,0,0,0,3,3,3,No,21,6,42613,No,Check Later,B202,Not Available
EMP1181,39,Male,Operations,Operations Manager,Bachelor's,4,4,4,5,3,1,No,7,10,48750,Yes,Good,A101,45000
EMP1182,22,F,IT,Data Analyst,Bachelor's,0,0,0,5,4,3,No,17,2,36057,No,Pending,999X,
EMP1183,46,Female,Sales,Business Development Executive,Diploma,12,11,5,3,3,2,No,14,7,82292,No,,A101,
EMP1184,52,Male,Customer Support,Support Executive,,15,4,0,,4,4,No,33,,,No,Pending,,Not Available
EMP1185,26,Male,IT,Software Engineer,Bachelor's,2,2,0,3,4,3,No,11,8,46136,No,Pending,,
EMP1186,52,Male,Sales,Business Development Executive,Master's,21,19,15,3,4,3,No,13,7,173408,No,Good,,Not Available
EMP1187,24,Female,Finance,Financial Analyst,Diploma,2,2,0,3,3,2,Yes,1,2,28195,No,Pending,,45000
EMP1188,31,Male,HR,HR Executive,Master's,6,4,1,3,3,3,No,34,5,75314,No,N/A,B202,Not Available
EMP1189,37,female,Operations,Operations Executive,MBA,9,3,2,5,4,4,No,9,8,117466,No,N/A,B202,
EMP1190,58,Female,Marketing,Marketing Executive,Bachelor's,28,7,6,1,2,2,No,13,0,176274,Yes,,B202,
EMP1191,44,Male,Operations,Operations Manager,Bachelor's,2,2,1,4,2,4,No,37,2,45509,No,,??,Thirty Thousand
EMP1192,25,Female,Finance,Finance Manager,Diploma,3,3,2,2,3,5,No,30,1,41838,No,,,Not Available
EMP1193,54,male,IT,Software Engineer,Master's,14,7,4,3,1,4,No,37,7,131961,No,Pending,999X,Thirty Thousand
EMP1194,26,Male,Marketing,Digital Marketing Manager,Master's,3,1,0,1,4,4,No,7,5,59410,No,Check Later,999X,Not Available
EMP1195,42,Male,HR,HR Executive,Bachelor's,9,4,2,3,3,2,Yes,14,9,76675,No,Good,,Not Available
EMP1196,31,Male,Finance,Financial Analyst,Bachelor's,8,3,0,4,3,3,Yes,6,10,72256,No,Pending,999X,45000
EMP1197,36,male,Marketing,Marketing Executive,MBA,10,3,0,5,3,5,No,34,10,126562,Yes,Good,B202,
EMP1198,53,Female,Finance,Finance Manager,Bachelor's,15,11,9,2,3,4,No,16,7,120834,No,Pending,??,
EMP1199,29,Female,Finance,Accountant,Diploma,1,1,1,3,1,4,Yes,37,1,39372,Yes,Check Later,??,Thirty Thousand
EMP1200,26,female,HR,HR Executive,MBA,0,0,0,3,3,4,Yes,36,10,52542,No,Pending,A101,Thirty Thousand
EMP1201,36,female,Customer Support,Support Executive,Master's,2,2,1,5,3,3,Yes,6,5,50673,No,Check Later,999X,Thirty Thousand
EMP1202,49,Female,Sales,Sales Manager,MBA,1,0,0,4,3,1,No,8,6,44610,No,Pending,999X,
EMP1203,23,M,Marketing,Marketing Executive,Master's,1,0,0,3,4,4,No,24,7,44469,No,,999X,Not Available
EMP1204,40,Male,HR,HR Executive,MBA,1,0,0,4,2,4,No,3,8,58643,No,Pending,??,Not Available
EMP1205,56,Male,Finance,Finance Manager,Bachelor's,30,3,3,5,2,3,Yes,4,4,197573,No,N/A,999X,
EMP1206,39,Male,HR,Recruiter,Master's,7,3,3,1,2,5,No,32,10,85601,Yes,,,
EMP1207,46,Male,Customer Support,Support Executive,MBA,2,0,0,3,3,3,Yes,1,2,54166,No,Check Later,??,Thirty Thousand
EMP1208,23,Female,Sales,Sales Executive,Master's,1,0,0,5,4,3,Yes,34,1,46916,Yes,N/A,??,Thirty Thousand
EMP1209,39,F,Operations,Operations Executive,Bachelor's,13,9,8,4,4,5,No,9,7,107010,No,,A101,45000
EMP1210,40,Male,Marketing,SEO Specialist,Bachelor's,15,5,3,3,3,4,No,12,0,119230,No,N/A,999X,45000
EMP1211,52,Male,Sales,Sales Manager,Bachelor's,0,0,0,3,3,3,Yes,10,9,36203,No,,,Not Available
EMP1212,27,Female,IT,System Administrator,Bachelor's,4,1,1,3,3,2,Yes,10,5,51988,No,,999X,Thirty Thousand
EMP1213,53,F,Marketing,Digital Marketing Manager,Bachelor's,2,0,0,3,2,3,Yes,23,1,40143,Yes,Pending,,45000
EMP1214,60,Male,Sales,Business Development Executive,Master's,25,6,6,4,2,4,No,6,2,202765,No,,,Thirty Thousand
EMP1215,59,Female,Finance,Finance Manager,Master's,17,16,7,3,4,3,Yes,24,7,144537,Yes,N/A,999X,Thirty Thousand
EMP1216,38,Male,Marketing,Digital Marketing Manager,Bachelor's,8,4,2,4,3,4,Yes,24,0,82548,No,Good,??,Thirty Thousand
EMP1217,60,Male,Marketing,Marketing Executive,Master's,37,1,1,5,4,5,Yes,21,5,279685,No,Good,A101,Thirty Thousand
EMP1218,21,F,HR,HR Executive,Diploma,0,0,0,2,3,4,No,31,2,25255,No,Pending,A101,Not Available
EMP1219,31,F,Finance,Financial Analyst,Diploma,6,1,1,3,3,3,No,30,5,52110,No,Check Later,B202,45000
EMP1220,48,Male,IT,Software Engineer,,20,12,12,,2,4,No,34,,,Yes,Good,??,45000
EMP1221,45,F,Operations,Operations Executive,Bachelor's,0,0,0,4,2,3,No,18,10,32432,No,Pending,999X,45000
EMP1222,43,Female,Customer Support,Support Executive,Bachelor's,20,8,4,2,3,2,No,12,10,138061,No,,??,Not Available
EMP1223,51,M,Sales,Sales Executive,Bachelor's,26,0,0,4,3,1,No,35,7,163017,No,N/A,A101,
EMP1224,50,Female,HR,Recruiter,Bachelor's,9,3,0,5,2,3,Yes,7,4,78256,No,,B202,Not Available
